species_code,species_common_name,trait,dietary_guild,habitat_guild,migratory_guild,continental_importance,climate_prediction
EAPH,Eastern Phoebe,Invertebrate,Aerial insectivore,Forest Generalist,Short-distance migrants,NA,NA
EUCD,Eurasian Collared-Dove,NA,Granivore-herbivore,Habitat Generalist,Winter residents,NA,Improving
EUST,European Starling,NA,Insect gleaner,Habitat Generalist,Short-distance migrants,NA,Improving
EVGR,Evening Grosbeak,PlantSeed,Granivore-herbivore,Late succession forest,Winter residents,Watch List/Tipping Point Orange,Improving
FOSP,Fox Sparrow,Omnivore,Granivore-insectivore,Forest Generalist,Short-distance migrants,NA,Stable
GBHE,Great Blue Heron,VertFishScav,Aquatic,Wetland,Short-distance migrants,NA,Improving
GCKI,Golden-crowned Kinglet,Invertebrate,Insect gleaner,Late succession forest,Short-distance migrants,Common Bird in Steep Decline,Stable
GCRF,Gray-crowned Rosy-Finch,NA,Granivore-herbivore,Grassland-shrubland-alpine,Short-distance migrants,Common Bird in Steep Decline,Stable
GCSP,Golden-crowned Sparrow,PlantSeed,Granivore-insectivore,Grassland-shrubland-alpine,Short-distance migrants,NA,Stable
GGOW,Great Gray Owl,NA,Carnivore,Late succession forest,Winter residents,NA,Potential colonisation
GHOW,Great Horned Owl,VertFishScav,Carnivore,Habitat Generalist,Winter residents,NA,Improving
GRCA,Gray Catbird,NA,Insect gleaner,Forest Generalist,Short-distance migrants,NA,Potential colonisation
GRYE,Greater Yellowlegs,Invertebrate,Aquatic,Wetland,Long-distance migrants,Watch List/Tipping Point Orange,Improving
GWTE,Green-winged Teal,NA,Aquatic,Wetland,Short-distance migrants,NA,Potential extirpation
HAFL,Hammond's Flycatcher,Invertebrate,Aerial insectivore,Late succession forest,Long-distance migrants,NA,Improving
HAWO,Hairy Woodpecker,Invertebrate,Bark forager,Late succession forest,Winter residents,NA,Improving
HETH,Hermit Thrush,Invertebrate,Insect gleaner,Forest Generalist,Short-distance migrants,NA,Stable
HOLA,Horned Lark,Omnivore,Granivore-insectivore,Grassland-shrubland-alpine,Short-distance migrants,Common Bird in Steep Decline,Potential extirpation
HOSP,House Sparrow,PlantSeed,Granivore-herbivore,Habitat Generalist,Winter residents,NA,Improving
HOWR,House Wren,Invertebrate,Insect gleaner,Habitat Generalist,Long-distance migrants,NA,Improving
KILL,Killdeer,Invertebrate,Insect gleaner,Grassland-shrubland-alpine,Short-distance migrants,NA,Improving
LAZB,Lazuli Bunting,Omnivore,Insect gleaner,Habitat Generalist,Long-distance migrants,NA,NA
LCSP,LeConte's Sparrow,NA,Granivore-insectivore,Grassland-shrubland-alpine,Short-distance migrants,Watch List/Tipping Point Orange,Potential extirpation
LEFL,Least Flycatcher,Invertebrate,Aerial insectivore,Late succession forest,Long-distance migrants,Common Bird in Steep Decline,Improving
LISP,Lincoln's Sparrow,Omnivore,Granivore-insectivore,Grassland-shrubland-alpine,Short-distance migrants,NA,Stable
MALL,Mallard,Omnivore,Aquatic,Wetland,Short-distance migrants,NA,Improving
MAWA,Magnolia Warbler,Invertebrate,Insect gleaner,Late succession forest,Long-distance migrants,NA,Improving
MERL,Merlin,VertFishScav,Carnivore,Habitat Generalist,Short-distance migrants,NA,Stable
MGWA,MacGillivray's Warbler,Invertebrate,Insect gleaner,Habitat Generalist,Long-distance migrants,NA,Improving
MOBL,Mountain Bluebird,Invertebrate,Insect gleaner,Forest Generalist,Short-distance migrants,NA,Stable
